,class_val,cells,protected,subzone,year,variable
0,0,18754766,True,BAFA_un,2015,Change_Attribution
1,1,6586,True,BAFA_un,2015,Change_Attribution
2,3,424431,True,BAFA_un,2015,Change_Attribution
3,4,5392,True,BAFA_un,2015,Change_Attribution
4,5,34055,True,BAFA_un,2015,Change_Attribution
5,6,36247,True,BAFA_un,2015,Change_Attribution
6,7,207977,True,BAFA_un,2015,Change_Attribution
7,8,4436,True,BAFA_un,2015,Change_Attribution
8,9,3726,True,BAFA_un,2015,Change_Attribution
0,0,18507708,False,BAFA_un,2015,Change_Attribution
1,1,11625,False,BAFA_un,2015,Change_Attribution
2,3,548252,False,BAFA_un,2015,Change_Attribution
3,4,11165,False,BAFA_un,2015,Change_Attribution
4,5,55293,False,BAFA_un,2015,Change_Attribution
5,6,34887,False,BAFA_un,2015,Change_Attribution
6,7,298051,False,BAFA_un,2015,Change_Attribution
7,8,7883,False,BAFA_un,2015,Change_Attribution
8,9,2751,False,BAFA_un,2015,Change_Attribution
9,10,1,False,BAFA_un,2015,Change_Attribution
