protected,subzone,mean_elev_cv,mean_loreys_height,mean_percentage_first_returns_above_2m,mean_total_biomass,sd_elev_cv,sd_loreys_height,sd_percentage_first_returns_above_2m,sd_total_biomass,count
protected,BAFA_un,0.39444998911240176,13.654833339477902,46.7960915562603,70.40247871894833,0.10368791340699444,5.685622769524475,27.08496055700541,66.62023644607419,298505
unprotected,BAFA_un,0.39302848629472864,12.705539309012305,47.4231781373923,62.52013956575318,0.10728109310816321,5.124746989582123,27.431465437519584,57.491752975597585,298354
protected,BAFA_unp,0.3683923245906327,17.75047946345289,48.3194108640658,97.36736885900827,0.09852750966998902,6.063740639519925,28.1203620055653,82.89188510596242,30044
unprotected,BAFA_unp,0.38291746021179324,17.15029862822124,58.88800359592483,110.91121429047274,0.11420060882427058,7.1854738070965904,26.7123160006975,90.98013488658981,30034
protected,BG_xh,0.3658320743753634,19.78382568274255,59.84018012783251,154.25869262057074,0.11144188304321558,8.586341469047468,29.07589156828714,131.6097849033323,1721
unprotected,BG_xh,0.3597850087158634,14.100338756536877,48.70778617083092,83.45807669959333,0.12045552217163957,6.956036694069911,25.795810474982673,88.69174956363882,1721
protected,BG_xw,0.3839112311314275,23.762178091676898,62.26749203711554,189.4645893920471,0.08997983622935107,6.317397798234043,30.279986071548763,125.9564182235452,7221
unprotected,BG_xw,0.37882467802243835,23.356751142501157,61.09649217559942,187.860419609467,0.10073503548562614,7.5037078115069935,30.14533014428385,130.54879086619093,7221
protected,BWBS_dk,0.37588116674093996,15.458530175691894,65.27214795050394,106.82888903345297,0.11568457966558908,4.121971754850794,24.060617152100573,62.8478426757368,7161867
unprotected,BWBS_dk,0.3797103514047231,15.693840612608474,65.01883206334315,109.79353046735568,0.12128390193864255,4.389574790979702,24.095001508639537,65.92257330541426,7161685
protected,BWBS_mk,0.3688777126682802,16.08908325478051,70.48644123307723,125.6265086910523,0.11919000447119593,5.124539138674736,23.535049311174873,78.50887996902046,3639314
unprotected,BWBS_mk,0.39425198497326064,15.351142599863545,63.36343803982406,111.43854946382966,0.12197418986522507,5.480456177128491,27.180515130415493,83.61877619668601,3639344
protected,BWBS_mw,0.3756636436383672,18.177851913738408,74.10931130171006,142.0567007810446,0.1274106121633577,6.2208129915411465,22.83410168059737,86.64794938054456,213693
unprotected,BWBS_mw,0.36207684314484906,16.6698919318742,75.34812205406323,130.1971211787477,0.12206302447863117,5.782987415057837,23.572126783726148,82.37350514682866,213643
protected,BWBS_wk,0.39841491832238113,20.325492391192412,67.81132692651798,146.5700957052119,0.11120190480636725,6.472991361630451,23.994349732398035,88.02163687797109,277310
unprotected,BWBS_wk,0.387257631081373,19.32275904544969,66.64167555453558,139.80335320183173,0.11705244642735205,6.8781562409926,24.986487437515862,96.65763629711762,277156
protected,CDF_mm,0.30838445360738004,27.348722815047893,89.3770130744731,306.64350099452366,0.1380947147692711,7.324423891755108,15.875633036892594,157.75425969220726,96524
unprotected,CDF_mm,0.32930413161488903,26.5800902987833,83.69061321536627,287.1291549251467,0.1542255371902651,7.615259352040391,21.001583989857153,167.38799067534742,96524
protected,CMA_un,0.39893877551019863,13.153549498121258,47.541918557634745,70.06870795870991,0.10392944850525826,4.744170839986628,24.028699960561692,56.18229522755841,21021
unprotected,CMA_un,0.40478357676387616,12.583450544745574,48.80470716970529,64.45721823112737,0.10890633762308914,4.068866360718007,24.42321484362316,48.3147013846234,21019
protected,CMA_unp,0.37758052638612155,20.327790385248655,63.56887282084559,154.06263769281918,0.12128953873291558,7.704293480615207,28.100013670455414,120.18212848563418,352251
unprotected,CMA_unp,0.38387680621611003,20.469450656243946,64.97770405750218,157.42290139225102,0.13285793130197812,7.731258666765974,27.381848183917352,119.53885717193636,350318
protected,CMA_wh,0.3739752883031307,16.406674629324563,56.3155601317957,116.14058484349269,0.09629082793192842,6.765967099278798,28.11705568546807,92.37524235816328,1214
unprotected,CMA_wh,0.37901235584843573,15.30883360790773,48.47096375617791,97.5516309719934,0.09299913044945494,5.83373483716579,26.92420363009696,77.33738500033313,1214
protected,CWH_dm,0.2898053308700075,30.286988657171797,91.1933200614211,339.1799772757681,0.12396630374855946,6.807771439204654,13.409314973283804,163.75225625067196,310681
unprotected,CWH_dm,0.29680487961897434,28.443141331913747,89.06808236770172,321.516059579125,0.13161923709036025,7.131261190712814,16.199330786471858,160.5596665516126,310680
protected,CWH_ds,0.3248659413212275,22.58217999661857,82.87955150644217,225.30617092697142,0.11472431748266072,8.406787148462355,21.433362201823037,150.10207299096163,537399
unprotected,CWH_ds,0.30453976754502565,25.603615064170697,86.88989894309334,279.3692356046222,0.13073592361886746,8.056918662830853,18.324560832028,160.90329305730603,537222
protected,CWH_mm,0.3145276401861221,25.778695076040986,88.1617230226331,276.3710643415429,0.10544026033761683,7.626101932275294,14.929108000123087,143.5632023710844,425775
unprotected,CWH_mm,0.27499479772196017,25.215295115911534,93.23326146441632,291.6174561681523,0.11467325038926217,7.126965519557386,13.119355662879235,147.2537534889677,425775
protected,CWH_ms,0.33022701678122884,24.526080637615422,86.18380991748613,251.70542155347252,0.13159510005159636,7.49592385901016,16.863031323289604,138.71061818552278,950661
unprotected,CWH_ms,0.3167389383239301,24.369893042185215,87.91017166720731,256.4084852001079,0.14217004211816597,7.77119436337809,15.822888862518306,145.04201122201277,947822
protected,CWH_vh,0.3561320640863855,21.509350065793623,79.88383260605602,201.13799845835172,0.12610060973283724,7.578327398576564,19.361869959900282,128.11247901480775,7633347
unprotected,CWH_vh,0.3475532657458444,21.629293157115235,80.73505341704713,206.93444450567236,0.1303459734164993,7.5207339447405985,19.408884808789793,132.10266931719582,7633386
protected,CWH_vm,0.3230948841404603,21.06077549877674,87.45422849426214,204.33849981416716,0.12095798400203117,8.553178694003124,16.663244577086413,141.6185089798,6071120
unprotected,CWH_vm,0.30964456991144007,22.96749135484801,88.97224387667681,239.72491581627423,0.1283182553905727,8.564221247930607,15.617613930720825,157.3968317429335,6069911
protected,CWH_wh,0.3618270500124057,21.087590235121326,82.53117838813093,200.67995898501374,0.12389594246738478,8.049068524829728,17.94752864787239,136.53228820596397,1361249
unprotected,CWH_wh,0.3405551587732704,21.325926915800917,83.77057359344383,211.4716096154631,0.13417519137305042,8.062944971984521,17.507005410036648,144.77665032914646,1361225
protected,CWH_wm,0.32029458179767173,17.162345497377967,86.29927252881546,152.76543591856245,0.11775193004255109,6.163306965589272,16.864518841040994,103.96361350836817,379314
