,class_val,cells,protected,subzone,year,variable
0,0,1,True,BAFA_un,2015,vlce
1,20,16765,True,BAFA_un,2015,vlce
2,31,3688958,True,BAFA_un,2015,vlce
3,32,3419607,True,BAFA_un,2015,vlce
4,33,8640794,True,BAFA_un,2015,vlce
5,40,12,True,BAFA_un,2015,vlce
6,50,664449,True,BAFA_un,2015,vlce
7,80,4,True,BAFA_un,2015,vlce
8,100,2747645,True,BAFA_un,2015,vlce
9,210,298179,True,BAFA_un,2015,vlce
10,220,1202,True,BAFA_un,2015,vlce
0,20,10836,False,BAFA_un,2015,vlce
1,31,2660096,False,BAFA_un,2015,vlce
2,32,2042103,False,BAFA_un,2015,vlce
3,33,10149044,False,BAFA_un,2015,vlce
4,40,60,False,BAFA_un,2015,vlce
5,50,763680,False,BAFA_un,2015,vlce
6,80,12,False,BAFA_un,2015,vlce
7,81,3,False,BAFA_un,2015,vlce
8,100,3345434,False,BAFA_un,2015,vlce
9,210,504011,False,BAFA_un,2015,vlce
10,220,2336,False,BAFA_un,2015,vlce
11,230,1,False,BAFA_un,2015,vlce
